,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
0,BMW,1 Series M,2011.0,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26.0,19.0,3916.0
1,BMW,1 Series,2011.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,19.0,3916.0
2,BMW,1 Series,2011.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
3,BMW,1 Series,2011.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,18.0,3916.0
4,BMW,1 Series,2011.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,18.0,3916.0
5,BMW,1 Series,2012.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,18.0,3916.0
6,BMW,1 Series,2012.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26.0,,3916.0
7,BMW,1 Series,2012.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
8,BMW,1 Series,2012.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,18.0,3916.0
9,BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27.0,18.0,3916.0
10,BMW,1 Series,2013.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
11,BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,19.0,3916.0
12,BMW,1 Series,2013.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,19.0,3916.0
13,BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,19.0,3916.0
14,BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,19.0,3916.0
15,BMW,1 Series,2013.0,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25.0,18.0,3916.0
16,BMW,1 Series,2013.0,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
17,Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
18,Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
19,Audi,100,1992.0,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20.0,16.0,3105.0
20,Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
21,Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21.0,16.0,3105.0
22,Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
23,Audi,100,1993.0,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20.0,16.0,3105.0
24,Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,,17.0,3105.0
25,Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
26,Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21.0,16.0,3105.0
27,Audi,100,1994.0,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,21.0,16.0,3105.0
28,Audi,100,1994.0,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22.0,16.0,3105.0
29,Audi,100,1994.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,22.0,17.0,3105.0
30,Audi,100,1994.0,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,22.0,16.0,3105.0
