Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
BMW,1 Series M,2011,premium unleaded (required),335,6,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,3916
BMW,1 Series,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,3916
BMW,1 Series,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916
BMW,1 Series,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,18,3916
BMW,1 Series,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,3916
BMW,1 Series,2012,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,3916
BMW,1 Series,2012,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Convertible,26,19,3916
BMW,1 Series,2012,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916
BMW,1 Series,2012,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,3916
BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,27,18,3916
BMW,1 Series,2013,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916
BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,3916
BMW,1 Series,2013,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,3916
BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,3916
BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,3916
BMW,1 Series,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,Convertible,25,18,3916
BMW,1 Series,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916
Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105
Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105
Audi,100,1992,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,20,16,3105
Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105
Audi,100,1992,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,21,16,3105
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105
Audi,100,1993,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,20,16,3105
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,26,17,3105
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105
Audi,100,1993,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,21,16,3105
Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Wagon,21,16,3105
Audi,100,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,22,16,3105
Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,22,17,3105
Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Wagon,22,16,3105
