Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
BMW,1 Series M,2011.0,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26.0,19.0,3916.0
BMW,1 Series,2011.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,NaN,28.0,19.0,3916.0
BMW,NaN,2011.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
BMW,1 Series,2011.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,18.0,3916.0
NaN,1 Series,2011.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,18.0,3916.0
BMW,1 Series,2012.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,NaN,28.0,18.0,3916.0
BMW,1 Series,2012.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26.0,NaN,3916.0
BMW,1 Series,2012.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
BMW,1 Series,2012.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,18.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27.0,18.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
BMW,NaN,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,19.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,19.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28.0,19.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,19.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25.0,18.0,3916.0
BMW,1 Series,2013.0,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28.0,20.0,3916.0
Audi,100,1992.0,NaN,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
Audi,100,1992.0,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20.0,16.0,3105.0
Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
Audi,100,1992.0,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21.0,16.0,3105.0
Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
Audi,100,1993.0,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20.0,16.0,3105.0
Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,NaN,17.0,3105.0
Audi,100,1993.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24.0,17.0,3105.0
NaN,100,1993.0,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21.0,16.0,3105.0
Audi,100,1994.0,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,21.0,16.0,3105.0
Audi,100,1994.0,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22.0,16.0,3105.0
Audi,100,1994.0,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,22.0,17.0,3105.0
Audi,100,1994.0,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,NaN,22.0,16.0,3105.0
Audi,100,1994.0,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,21.0,NaN,3105.0
FIAT,124 Spider,2017.0,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35.0,26.0,819.0
FIAT,124 Spider,2017.0,NaN,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35.0,26.0,819.0
FIAT,124 Spider,2017.0,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35.0,NaN,819.0
Mercedes-Benz,190-Class,1991.0,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26.0,18.0,617.0
Mercedes-Benz,190-Class,1991.0,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25.0,17.0,617.0
Mercedes-Benz,190-Class,1992.0,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25.0,17.0,617.0
Mercedes-Benz,190-Class,1992.0,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26.0,18.0,617.0
Mercedes-Benz,190-Class,1993.0,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26.0,18.0,617.0
NaN,190-Class,1993.0,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,NaN,Compact,Sedan,25.0,17.0,617.0
BMW,NaN,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,NaN,Compact,Coupe,35.0,23.0,3916.0
BMW,2 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,NaN,Compact,Convertible,34.0,23.0,3916.0
BMW,2 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,31.0,20.0,3916.0
BMW,2 Series,2016.0,premium unleaded (required),240.0,NaN,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35.0,23.0,3916.0
BMW,2 Series,2016.0,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,34.0,22.0,3916.0
BMW,2 Series,NaN,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,31.0,20.0,3916.0
BMW,NaN,2016.0,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34.0,22.0,3916.0
BMW,2 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30.0,20.0,3916.0
BMW,2 Series,2016.0,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,30.0,20.0,3916.0
BMW,2 Series,2017.0,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,31.0,21.0,3916.0
BMW,2 Series,2017.0,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,32.0,21.0,3916.0
