Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
BMW,1 Series M,0.777777778,premium unleaded (required),0.295983087,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.040935673,0.092307692,0.692130858,0.021384252
BMW,1 Series,0.777777778,premium unleaded (required),0.258985201,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.046783626,0.092307692,0.692130858,0.018726664
BMW,1 Series,0.777777778,premium unleaded (required),0.258985201,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.046783626,0.1,0.692130858,0.016643232
BMW,1 Series,0.777777778,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.084615385,0.692130858,0.01330005
BMW,1 Series,0.777777778,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.084615385,0.692130858,0.015746872
BMW,1 Series,0.814814815,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.084615385,0.692130858,0.014147959
BMW,1 Series,0.814814815,premium unleaded (required),0.258985201,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.040935673,0.092307692,0.692130858,0.020398255
BMW,1 Series,0.814814815,premium unleaded (required),0.258985201,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.1,0.692130858,0.018072564
BMW,1 Series,0.814814815,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.084615385,0.692130858,0.016909718
BMW,1 Series,0.851851852,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.043859649,0.084615385,0.692130858,0.017055073
BMW,1 Series,0.851851852,premium unleaded (required),0.258985201,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.046783626,0.1,0.692130858,0.018217919
BMW,1 Series,0.851851852,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.092307692,0.692130858,0.014293314
BMW,1 Series,0.851851852,premium unleaded (required),0.258985201,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.092307692,0.692130858,0.020543611
BMW,1 Series,0.851851852,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.046783626,0.092307692,0.692130858,0.017055073
BMW,1 Series,0.851851852,premium unleaded (required),0.184989429,0.375,MANUAL,rear wheel drive,0,Compact,Convertible,0.046783626,0.092307692,0.692130858,0.014293314
BMW,1 Series,0.851851852,premium unleaded (required),0.28012685,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.038011696,0.084615385,0.692130858,0.02240901
BMW,1 Series,0.851851852,premium unleaded (required),0.28012685,0.375,MANUAL,rear wheel drive,0,Compact,Coupe,0.046783626,0.1,0.692130858,0.02013177
Audi,100,0.074074074,regular unleaded,0.123678647,0.375,MANUAL,front wheel drive,1,Midsize,Sedan,0.035087719,0.076923077,0.548717949,0
Audi,100,0.074074074,regular unleaded,0.123678647,0.375,AUTOMATIC,all wheel drive,1,Midsize,Wagon,0.035087719,0.076923077,0.548717949,0
