Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
BMW,1 Series M,0.087229634,premium unleaded (required),0.802799046,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,-0.072849685,-0.080944723,1.660821328,0.092963896
BMW,1 Series,0.087229634,premium unleaded (required),0.475128134,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,0.155159,-0.080944723,1.660821328,0.001601279
BMW,1 Series,0.087229634,premium unleaded (required),0.475128134,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,0.155159,0.031707375,1.660821328,-0.070023015
BMW,1 Series,0.087229634,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.193596822,1.660821328,-0.184955023
BMW,1 Series,0.087229634,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.193596822,1.660821328,-0.100838119
BMW,1 Series,0.220699727,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.193596822,1.660821328,-0.1558056
BMW,1 Series,0.220699727,premium unleaded (required),0.475128134,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,-0.072849685,-0.080944723,1.660821328,0.059067283
BMW,1 Series,0.220699727,premium unleaded (required),0.475128134,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,0.031707375,1.660821328,-0.020885418
BMW,1 Series,0.220699727,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.193596822,1.660821328,-0.060861768
BMW,1 Series,0.354169819,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,0.041154657,-0.193596822,1.660821328,-0.055864725
BMW,1 Series,0.354169819,premium unleaded (required),0.475128134,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,0.155159,0.031707375,1.660821328,-0.015888374
BMW,1 Series,0.354169819,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.080944723,1.660821328,-0.150808557
BMW,1 Series,0.354169819,premium unleaded (required),0.475128134,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.080944723,1.660821328,0.064064327
BMW,1 Series,0.354169819,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Coupe,0.155159,-0.080944723,1.660821328,-0.055864725
BMW,1 Series,0.354169819,premium unleaded (required),-0.180213689,0.228593522,MANUAL,rear wheel drive,-1.63498399,Compact,Convertible,0.155159,-0.080944723,1.660821328,-0.150808557
